,Year,SP.POP.TOTL,SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,Country Code,Country Name,Region,Income Group,Lending Type
26,2016,66724104,82.5731707317,1.0954644037,FRA,France,Europe & Central Asia,High income,Not classified
27,2017,66864379,82.5756097561,2.2914199942,FRA,France,Europe & Central Asia,High income,Not classified
28,2018,66965912,82.7243902439,1.7928639271,FRA,France,Europe & Central Asia,High income,Not classified
29,2019,67055854,82.5780487805,1.5085940303,FRA,France,Europe & Central Asia,High income,Not classified
30,2010,81776930,79.987804878,4.1798824987,DEU,Germany,Europe & Central Asia,High income,Not classified
31,2011,80274983,80.4365853659,3.9251927046,DEU,Germany,Europe & Central Asia,High income,Not classified
32,2012,80425823,80.5390243902,0.4184975942,DEU,Germany,Europe & Central Asia,High income,Not classified
33,2013,80645605,80.4902439024,0.4375913031,DEU,Germany,Europe & Central Asia,High income,Not classified
34,2014,80982500,81.0902439024,2.2095434313,DEU,Germany,Europe & Central Asia,High income,Not classified
35,2015,81686611,80.6414634146,1.4919315276,DEU,Germany,Europe & Central Asia,High income,Not classified
36,2016,82348669,80.9902439024,2.2299998678,DEU,Germany,Europe & Central Asia,High income,Not classified
37,2017,82657002,80.9926829268,2.6019760046,DEU,Germany,Europe & Central Asia,High income,Not classified
38,2018,82905782,80.8926829268,1.2679952323,DEU,Germany,Europe & Central Asia,High income,Not classified
39,2019,83092962,80.9414634146,0.5554508879,DEU,Germany,Europe & Central Asia,High income,Not classified
40,2010,1234281170,66.693,8.4975847016,IND,India,South Asia,Lower middle income,IBRD
41,2011,1250288729,67.13,5.2413447429,IND,India,South Asia,Lower middle income,IBRD
42,2012,1265782790,67.545,5.4563589507,IND,India,South Asia,Lower middle income,IBRD
43,2013,1280846129,67.931,6.3861064009,IND,India,South Asia,Lower middle income,IBRD
44,2014,1295604184,68.286,7.4102276051,IND,India,South Asia,Lower middle income,IBRD
45,2015,1310152403,68.607,7.9962534441,IND,India,South Asia,Lower middle income,IBRD
46,2016,1324509589,68.897,8.2563058442,IND,India,South Asia,Lower middle income,IBRD
47,2017,1338658835,69.165,7.0438208554,IND,India,South Asia,Lower middle income,IBRD
48,2018,1352617328,69.416,6.1195868414,IND,India,South Asia,Lower middle income,IBRD
49,2019,1366417754,69.656,4.1807276248,IND,India,South Asia,Lower middle income,IBRD
50,2010,241834215,69.205,6.2238541806,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
51,2011,245116206,69.542,6.1697842077,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
52,2012,248452413,69.866,6.0300506531,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
53,2013,251806402,70.179,5.5572636889,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
54,2014,255129004,70.481,5.0066684258,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
55,2015,258383256,70.768,4.8763223002,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
56,2016,261554226,71.035,5.0330691828,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
57,2017,264645886,71.282,5.0697859013,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
58,2018,267663435,71.509,5.169705609,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
59,2019,270625568,71.716,5.0247140222,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
60,2010,128070000,82.8426829268,4.1917392585,JPN,Japan,East Asia & Pacific,High income,Not classified
61,2011,127833000,82.5912195122,-0.11542133980000001,JPN,Japan,East Asia & Pacific,High income,Not classified
62,2012,127629000,83.096097561,1.4950895859,JPN,Japan,East Asia & Pacific,High income,Not classified
63,2013,127445000,83.3319512195,2.0002678412,JPN,Japan,East Asia & Pacific,High income,Not classified
64,2014,127276000,83.587804878,0.37471947640000003,JPN,Japan,East Asia & Pacific,High income,Not classified
65,2015,127141000,83.793902439,1.2229210411,JPN,Japan,East Asia & Pacific,High income,Not classified
66,2016,126994511,83.9848780488,0.5219444555,JPN,Japan,East Asia & Pacific,High income,Not classified
67,2017,126785797,84.0997560976,2.1682907374,JPN,Japan,East Asia & Pacific,High income,Not classified
68,2018,126529100,84.2109756098,0.3232073379,JPN,Japan,East Asia & Pacific,High income,Not classified
69,2019,126264931,84.3563414634,0.6541516502,JPN,Japan,East Asia & Pacific,High income,Not classified
70,2010,142849468,68.8412195122,4.5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
71,2011,142960908,69.683902439,4.3000291858,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
72,2012,143201721,70.072195122,4.0240861572,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
73,2013,143506995,70.5787804878,1.7554221491000002,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
74,2014,143819667,70.7436585366,0.7362672214,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
75,2015,144096870,71.1834146341,-1.9727192264000002,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
76,2016,144342397,71.6512195122,0.1936900717,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
77,2017,144496739,72.4514634146,1.8257900636,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
78,2018,144477859,72.662195122,2.5363313014,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
79,2019,144406261,73.083902439,1.3418754407,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
80,2010,62766365,80.4024390244,1.9495214643,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
81,2011,63258810,80.9512195122,1.5401474032,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
82,2012,63700215,80.9048780488,1.4789239243,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
83,2013,64128273,81.0048780488,2.1394857181,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
84,2014,64602298,81.3048780488,2.6074759007,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
85,2015,65116219,80.956097561,2.355524306,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
86,2016,65611593,81.156097561,1.918155132,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
87,2017,66058859,81.256097561,1.8920770072000002,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
88,2018,66460344,81.256097561,1.3407206024,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
89,2019,66836327,81.2048780488,1.4626582019,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
90,2010,309321666,78.5414634146,2.5637665633999998,USA,United States,North America,High income,Not classified
91,2011,311556874,78.6414634146,1.5508355042000002,USA,United States,North America,High income,Not classified
92,2012,313830990,78.7414634146,2.249545851,USA,United States,North America,High income,Not classified
93,2013,315993715,78.7414634146,1.8420810700999999,USA,United States,North America,High income,Not classified
94,2014,318301008,78.8414634146,2.5259734504,USA,United States,North America,High income,Not classified
95,2015,320635163,78.6902439024,2.9080218613,USA,United States,North America,High income,Not classified
96,2016,322941311,78.5390243902,1.637838457,USA,United States,North America,High income,Not classified
97,2017,324985539,78.5390243902,2.3698007844,USA,United States,North America,High income,Not classified
98,2018,326687501,78.6390243902,2.9273257323,USA,United States,North America,High income,Not classified
99,2019,328239523,78.787804878,2.1611762883,USA,United States,North America,High income,Not classified
