,Year,SP.POP.TOTL,SP.DYN.LE00.IN,NY.GDP.MKTP.PP.CD,Country Code,Country Name,Region,Income Group,Lending Type
79,2019,144406261,73.083902439,4433092693069.74,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
80,2010,62766365,80.4024390244,2282900127831.13,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
81,2011,63258810,80.9512195122,2350795692102.0,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
82,2012,63700215,80.9048780488,2440476088673.01,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
83,2013,64128273,81.0048780488,2563270947920.74,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
84,2014,64602298,81.3048780488,2665874429446.03,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
85,2015,65116219,80.956097561,2767877022775.22,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
86,2016,65611593,81.156097561,2897865678772.82,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
87,2017,66058859,81.256097561,3035756467405.8,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
88,2018,66460344,81.256097561,3236006332256.31,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
89,2019,66836327,81.2048780488,3337149094741.6,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
90,2010,309321666,78.5414634146,14992052727000.0,USA,United States,North America,High income,Not classified
91,2011,311556874,78.6414634146,15542581104000.0,USA,United States,North America,High income,Not classified
92,2012,313830990,78.7414634146,16197007349000.0,USA,United States,North America,High income,Not classified
93,2013,315993715,78.7414634146,16784849196000.0,USA,United States,North America,High income,Not classified
94,2014,318301008,78.8414634146,17527163695000.0,USA,United States,North America,High income,Not classified
95,2015,320635163,78.6902439024,18224704440000.0,USA,United States,North America,High income,Not classified
96,2016,322941311,78.5390243902,18714960538000.0,USA,United States,North America,High income,Not classified
97,2017,324985539,78.5390243902,19519353692000.1,USA,United States,North America,High income,Not classified
98,2018,326687501,78.6390243902,20580159776000.1,USA,United States,North America,High income,Not classified
99,2019,328239523,78.787804878,21433226000000.1,USA,United States,North America,High income,Not classified
